row_label_std,normalized_label,occurrences,numeric_occurrences,amount_abs_total,example_source_cell_ref,top_candidate_code,top_candidate_name,top_candidate_score,top_candidate_method,meta_json
(2)年末其他应付款中金额较大的,(2)年末其他应付款中金额较大的,6,0,0,债务人审计报告-2022年:15:aliyun_table:2:5-5:0-6,,,0.0,,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
(2)年末应付账款中金额较大的,(2)年末应付账款中金额较大的,6,0,0,债务人审计报告-2022年:15:aliyun_table:1:4-4:0-6,,,0.0,,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
1-2年,1-2年,34,13,1090889682.4774,债务人审计报告-2022年:13:aliyun_table:1:3-3:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
12.应交税金,12.应交税金,6,0,0,债务人审计报告-2022年:15:aliyun_table:1:12-12:0-6,,,0.0,,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
"14,578,207.713,现金及现金等价物净增加情况","14,578,207.713,现金及现金等价物净增加情况",1,0,0,债务人审计报告-2022年:6:aliyun_table:0:29-29:5-5,,,0.0,,"{""providers"":[""aliyun_table""],""statement_types"":[""cash_flow""]}"
14.长期借款,14.长期借款,6,0,0,债务人审计报告-2022年:15:aliyun_table:2:9-9:0-6,ZT_105,长期借款,0.65,prefix_suffix_heuristic,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
16.未分配利润,16.未分配利润,2,0,0,债务人审计报告-2022年:16:aliyun_table:0:3-3:0-4,ZT_131,未分配利润,0.691827,prefix_suffix_heuristic,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
"2,不涉及现金收支的投资和筹资活动","2,不涉及现金收支的投资和筹资活动",2,0,0,债务人审计报告-2022年:6:aliyun_table:0:22-22:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
2.应收票据,2.应收票据,2,0,0,债务人审计报告-2022年:13:aliyun_table:0:4-4:0-2,ZT_007,应收票据,0.723333,prefix_suffix_heuristic,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
"3,现金及现金等价物净增加情况","3,现金及现金等价物净增加情况",1,0,0,债务人审计报告-2022年:6:tencent_table_v3:5:29-29:5-5,,,0.0,,"{""providers"":[""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
4.其他业务利润,4.其他业务利润,2,0,0,债务人审计报告-2022年:16:aliyun_table:3:3-3:0-2,ZT_169,其他业务利润,0.783929,prefix_suffix_heuristic,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
8.营业外收入,8.营业外收入,2,0,0,债务人审计报告-2022年:17:aliyun_table:2:8-8:0-2,ZT_175,加:营业外收入,0.641827,token_overlap,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
9.营业外支出,9.营业外支出,2,0,0,债务人审计报告-2022年:17:aliyun_table:2:12-12:0-2,ZT_177,减:营业外支出,0.641827,token_overlap,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
减:主营业务成本,:主营业务成本,4,4,14284966994.7,债务人审计报告-2022年:5:aliyun_table:0:2-2:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
加:其他业务利润,:其他业务利润,4,4,12555445.66,债务人审计报告-2022年:5:aliyun_table:0:5-5:2-2,ZT_169,其他业务利润,0.857692,fuzzy_sequence,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
减:固定资产减值准备,:固定资产减值准备,4,0,0,债务人审计报告-2022年:4:aliyun_table:0:24-24:2-2,ZT_048,减:固定资产减值准备,1.0,exact_normalized_match,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""balance_sheet""]}"
减:基他业务成本,:基他业务成本,2,0,0,债务人审计报告-2022年:16:aliyun_table:3:6-6:1-1,ZT_152,其他业务成本（金融类）,0.641827,token_overlap,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
减:已归还投资,:已归还投资,4,0,0,债务人审计报告-2022年:4:aliyun_table:0:31-31:6-6,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""balance_sheet""]}"
减:应付优先股股利,:应付优先股股利,4,0,0,债务人审计报告-2022年:5:aliyun_table:0:26-26:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
减:所得税,:所得税,4,4,29099716.16,债务人审计报告-2022年:5:aliyun_table:0:15-15:2-2,ZT_180,减:所得税,1.0,exact_normalized_match,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
加:投资收益,:投资收益,4,0,0,债务人审计报告-2022年:5:aliyun_table:0:10-10:2-2,ZT_162,投资收益,0.818889,prefix_suffix_heuristic,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
减:提取法定盈余公积,:提取法定盈余公积,4,0,0,债务人审计报告-2022年:5:aliyun_table:0:20-20:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
减:提取盈余公积,:提取盈余公积,4,0,0,债务人审计报告-2022年:16:aliyun_table:0:8-8:1-2,ZT_128,盈余公积,0.65,prefix_suffix_heuristic,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
加:期初未分配利润,:期初未分配利润,4,4,207509746.84,债务人审计报告-2022年:5:aliyun_table:0:17-17:2-2,ZT_131,未分配利润,0.691827,prefix_suffix_heuristic,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
加:本年净利润,:本年净利润,2,2,43606622.95,债务人审计报告-2022年:16:aliyun_table:0:6-6:1-2,,,0.0,,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
减:汇兑收益,:汇兑收益,4,2,680300.0,债务人审计报告-2022年:17:aliyun_table:2:4-4:1-1,ZT_165,汇兑收益,0.818889,prefix_suffix_heuristic,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
减:现金的期初余额,:现金的期初余额,2,2,792298841.24,债务人审计报告-2022年:6:aliyun_table:0:31-31:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
减:现金等价物的期初余额,:现金等价物的期初余额,2,0,0,债务人审计报告-2022年:6:aliyun_table:0:33-33:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
加:现金等价物的期末余额,:现金等价物的期末余额,2,0,0,债务人审计报告-2022年:6:aliyun_table:0:32-32:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
减:累计折旧,:累计折旧,4,4,163469158.32,债务人审计报告-2022年:4:aliyun_table:0:22-22:2-2,ZT_047,减:累计折旧,1.0,exact_normalized_match,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""balance_sheet""]}"
减:营业外支出,:营业外支出,4,4,19277757.0,债务人审计报告-2022年:5:aliyun_table:0:13-13:2-2,ZT_177,减:营业外支出,1.0,exact_normalized_match,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
减:营业费用,:营业费用,4,4,6653927.06,债务人审计报告-2022年:5:aliyun_table:0:6-6:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
加:计提的资产减值准备,:计提的资产减值准备,2,0,0,债务人审计报告-2022年:6:aliyun_table:0:3-3:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
"一,主营业务收入","一,主营业务收入",4,4,14512078552.58,债务人审计报告-2022年:5:aliyun_table:0:1-1:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
一年内到期的可转换公司债券,一年内到期的可转换公司债券,2,0,0,债务人审计报告-2022年:6:aliyun_table:0:24-24:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
一年内到期的长期负债,一年内到期的长期负债,4,0,0,债务人审计报告-2022年:4:aliyun_table:0:14-14:6-6,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""balance_sheet""]}"
一年内到期长期债权投资,一年内到期长期债权投资,4,0,0,债务人审计报告-2022年:4:aliyun_table:0:13-13:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""balance_sheet""]}"
"七,可供投资者分配的利润","七,可供投资者分配的利润",4,4,294722992.74,债务人审计报告-2022年:5:aliyun_table:0:25-25:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
"三,筹资活动产生的现金流量","三,筹资活动产生的现金流量",2,0,0,债务人审计报告-2022年:6:aliyun_table:0:23-23:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
"三,营业利润","三,营业利润",4,4,135590719.02,债务人审计报告-2022年:5:aliyun_table:0:9-9:2-2,ZT_174,营业利润,0.723333,prefix_suffix_heuristic,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
业务招待费,业务招待费,4,3,707030.37,债务人审计报告-2022年:17:aliyun_table:1:7-7:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
中国进出口银行江苏省分行,中国进出口银行江苏省分行,4,2,200000000.0,债务人审计报告-2022年:14:aliyun_table:3:10-10:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
主营业务税金及附加,主营业务税金及附加,4,4,15360410.64,债务人审计报告-2022年:5:aliyun_table:0:3-3:2-2,ZT_145,营业税金及附加,0.753472,token_overlap,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
"二,主营业务利润","二,主营业务利润",4,4,211751147.24,债务人审计报告-2022年:5:aliyun_table:0:4-4:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
"二,投资活动产生的现金流量","二,投资活动产生的现金流量",2,0,0,债务人审计报告-2022年:6:aliyun_table:0:12-12:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
"五,净利润","五,净利润",4,4,87213245.9,债务人审计报告-2022年:5:aliyun_table:0:16-16:2-2,ZT_182,净利润,0.6725,prefix_suffix_heuristic,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
"五,现金及现金等价物净增加额","五,现金及现金等价物净增加额",2,2,11102562.64,债务人审计报告-2022年:6:aliyun_table:0:34-34:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
企业所得税,企业所得税,8,7,24960216.51,债务人审计报告-2022年:12:aliyun_table:0:5-5:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
借款所收到的现金,借款所收到的现金,2,2,947800000.0,债务人审计报告-2022年:6:aliyun_table:0:25-25:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
债务转为资本,债务转为资本,2,0,0,债务人审计报告-2022年:6:aliyun_table:0:23-23:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
偿还债务所支付的现金,偿还债务所支付的现金,2,2,190000000.0,债务人审计报告-2022年:6:aliyun_table:0:28-28:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
"八,未分配利润","八,未分配利润",4,4,294722992.74,债务人审计报告-2022年:5:aliyun_table:0:30-30:2-2,ZT_131,未分配利润,0.758333,prefix_suffix_heuristic,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
"六,可供分配的利润","六,可供分配的利润",4,4,294722992.74,债务人审计报告-2022年:5:aliyun_table:0:19-19:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
兴业银行,兴业银行,4,2,64000000.0,债务人审计报告-2022年:14:aliyun_table:3:4-4:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
其他,其他,16,12,3347566.85,债务人审计报告-2022年:6:aliyun_table:0:17-17:5-5,ZT_173,其他收益,0.621667,prefix_suffix_heuristic,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow"",""note""]}"
其他业务收入,其他业务收入,2,2,6277722.83,债务人审计报告-2022年:16:aliyun_table:3:5-5:1-1,ZT_139,其他业务收入（金融类）,1.0,exact_normalized_match,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
其他设施,其他设施,20,14,990350527.355,债务人审计报告-2022年:10:aliyun_table:0:5-5:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
其他费用,其他费用,4,0,0,债务人审计报告-2022年:17:aliyun_table:2:6-6:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
其他转入,其他转入,4,0,0,债务人审计报告-2022年:5:aliyun_table:0:18-18:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
其他长期负债,其他长期负债,4,0,0,债务人审计报告-2022年:4:aliyun_table:0:23-23:6-6,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""balance_sheet""]}"
其他长期资产,其他长期资产,4,0,0,债务人审计报告-2022年:4:aliyun_table:0:33-33:2-2,ZT_042,其他长期投资,0.708333,token_overlap,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""balance_sheet""]}"
农行泰兴支行,农行泰兴支行,4,2,192000000.0,债务人审计报告-2022年:14:aliyun_table:3:9-9:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
"分配股利,利润或偿付利息所支付的现金","分配股利,利润或偿付利息所支付的现金",2,1,14578207.71,债务人审计报告-2022年:6:aliyun_table:0:29-29:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
利润归还投资,利润归还投资,4,0,0,债务人审计报告-2022年:5:aliyun_table:0:24-24:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
办公设备,办公设备,20,14,6264086.68,债务人审计报告-2022年:10:aliyun_table:0:3-3:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
办公费,办公费,4,4,329942.4,债务人审计报告-2022年:17:aliyun_table:1:4-4:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
单位名称,单位名称,12,0,0,债务人审计报告-2022年:15:aliyun_table:1:5-5:0-2,,,0.0,,"{""providers"":[""aliyun_table""],""statement_types"":[""note""]}"
取得投资收益所收到的现金,取得投资收益所收到的现金,2,0,0,债务人审计报告-2022年:6:aliyun_table:0:14-14:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
可供分配的利润,可供分配的利润,4,4,294722992.74,债务人审计报告-2022年:16:aliyun_table:0:7-7:1-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
合计,合计,138,104,15564058256.952894,债务人审计报告-2022年:13:aliyun_table:0:3-3:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
吸收投资所收到的现金,吸收投资所收到的现金,2,0,0,债务人审计报告-2022年:6:aliyun_table:0:24-24:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
"四,利润总额","四,利润总额",4,4,116312962.06,债务人审计报告-2022年:5:aliyun_table:0:14-14:2-2,ZT_179,利润总额,0.723333,prefix_suffix_heuristic,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""unknown""]}"
"四,汇率变动对现金的影响","四,汇率变动对现金的影响",2,2,58301100.0,债务人审计报告-2022年:6:aliyun_table:0:33-33:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
固定资产,固定资产,4,0,0,债务人审计报告-2022年:4:aliyun_table:0:20-20:2-2,ZT_045,固定资产净额,0.753333,prefix_suffix_heuristic,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""balance_sheet""]}"
固定资产净值,固定资产净值,4,4,1615618158.96,债务人审计报告-2022年:4:aliyun_table:0:23-23:2-2,ZT_045,固定资产净额,0.708333,token_overlap,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""balance_sheet""]}"
固定资产原价,固定资产原价,4,4,1779087317.28,债务人审计报告-2022年:4:aliyun_table:0:21-21:2-2,ZT_046,固定资产原值,0.708333,token_overlap,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""balance_sheet""]}"
固定资产合计,固定资产合计,4,4,1615618158.96,债务人审计报告-2022年:4:aliyun_table:0:29-29:2-2,ZT_044,固定资产及清理合计,0.673333,token_overlap,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""balance_sheet""]}"
固定资产折旧,固定资产折旧,2,2,43150014.0,债务人审计报告-2022年:6:aliyun_table:0:4-4:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
固定资产报废损失,固定资产报废损失,2,0,0,债务人审计报告-2022年:6:aliyun_table:0:10-10:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
地方教育费附加,地方教育费附加,2,2,0.04,债务人审计报告-2022年:12:aliyun_table:0:4-4:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
"处置固定资产,无形资产和其他长期资产所收回的现金净额","处置固定资产,无形资产和其他长期资产所收回的现金净额",2,0,0,债务人审计报告-2022年:6:aliyun_table:0:15-15:2-2,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
"处置固定资产,无形资产和其他长期资产的损失(减:收益)","处置固定资产,无形资产和其他长期资产的损失",2,0,0,债务人审计报告-2022年:6:aliyun_table:0:9-9:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
天津信托,天津信托,4,2,400000000.0,债务人审计报告-2022年:14:aliyun_table:3:7-7:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
存货的减少(减:增加),存货的减少,2,2,21291963.3,债务人审计报告-2022年:6:aliyun_table:0:14-14:5-5,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""cash_flow""]}"
宁波隆凯进出口有限公司,宁波隆凯进出口有限公司,4,4,49789120.2728,债务人审计报告-2022年:13:aliyun_table:2:4-4:1-1,,,0.0,,"{""providers"":[""aliyun_table"",""tencent_table_v3""],""statement_types"":[""note""]}"
